Indicator,Theme,Year,Value
Deposit Rate,Financial System Support,2000,3.3625
Deposit Rate,Financial System Support,2001,3.374166667
Deposit Rate,Financial System Support,2002,3.205
Deposit Rate,Financial System Support,2003,3.066666667
Deposit Rate,Financial System Support,2004,3.0
Deposit Rate,Financial System Support,2005,3.001666667
Deposit Rate,Financial System Support,2006,3.149166667
Deposit Rate,Financial System Support,2007,3.165833333
Deposit Rate,Financial System Support,2008,3.125833333
Deposit Rate,Financial System Support,2009,2.081666667
Deposit Rate,Financial System Support,2010,2.5025
Deposit Rate,Financial System Support,2011,2.910833333
Deposit Rate,Financial System Support,2012,2.980833333
Deposit Rate,Financial System Support,2013,2.97
Deposit Rate,Financial System Support,2014,3.048107787
Deposit Rate,Financial System Support,2015,3.134487179
Deposit Rate,Financial System Support,2016,3.02803563
Deposit Rate,Financial System Support,2017,2.924518667
Deposit Rate,Financial System Support,2018,3.143443722
Deposit Rate,Financial System Support,2019,2.983390625
Deposit Rate,Financial System Support,2020,1.954976736
Deposit Rate,Financial System Support,2021,1.561721181
Deposit Rate,Financial System Support,2022,1.94905
Deposit Rate,Financial System Support,2023,2.650416667
Deposit Rate,Financial System Support,2024,2.647115459
Domestic Credit,Financial System Support,2000,126.7293384
Domestic Credit,Financial System Support,2001,127.2322058
Domestic Credit,Financial System Support,2002,121.3519168
Domestic Credit,Financial System Support,2003,118.5915104
Domestic Credit,Financial System Support,2004,111.6287825
Domestic Credit,Financial System Support,2005,106.2929386
Domestic Credit,Financial System Support,2006,103.4891669
Domestic Credit,Financial System Support,2007,101.4203352
Domestic Credit,Financial System Support,2008,96.60456848
Domestic Credit,Financial System Support,2009,111.447313
Domestic Credit,Financial System Support,2010,107.0374424
Domestic Credit,Financial System Support,2011,108.3549919
Domestic Credit,Financial System Support,2012,114.0542857
Domestic Credit,Financial System Support,2013,119.7929177
Domestic Credit,Financial System Support,2014,120.5286835
Domestic Credit,Financial System Support,2015,123.0651806
Domestic Credit,Financial System Support,2016,121.9354289
Domestic Credit,Financial System Support,2017,117.1273016
Domestic Credit,Financial System Support,2018,120.2461831
Domestic Credit,Financial System Support,2019,120.6783775
Domestic Credit,Financial System Support,2020,133.7857494
Domestic Credit,Financial System Support,2021,127.2319861
Domestic Credit,Financial System Support,2022,113.0457796
Domestic Credit,Financial System Support,2023,117.0750836
Domestic Credit,Financial System Support,2024,116.0838217
GDP Growth,Economic Well-being,2000,8.85886817
GDP Growth,Economic Well-being,2001,0.517675319
GDP Growth,Economic Well-being,2002,5.390988307
GDP Growth,Economic Well-being,2003,5.788499286
GDP Growth,Economic Well-being,2004,6.783437724
GDP Growth,Economic Well-being,2005,5.332139161
GDP Growth,Economic Well-being,2006,5.584847067
GDP Growth,Economic Well-being,2007,6.298785927
GDP Growth,Economic Well-being,2008,4.831769889
GDP Growth,Economic Well-being,2009,-1.513528716
GDP Growth,Economic Well-being,2010,7.424847383
GDP Growth,Economic Well-being,2011,5.293912834
GDP Growth,Economic Well-being,2012,5.473454193
GDP Growth,Economic Well-being,2013,4.693722526
GDP Growth,Economic Well-being,2014,6.006721946
GDP Growth,Economic Well-being,2015,5.091532422
GDP Growth,Economic Well-being,2016,4.449781398
GDP Growth,Economic Well-being,2017,5.81272241
