Country Name,Country Code,Indicator Name,Indicator Code,Theme,Indicator,Year,Value
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2000,3.3625
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2001,3.374166667
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2002,3.205
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2003,3.066666667
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2004,3.0
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2005,3.001666667
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2006,3.149166667
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2007,3.165833333
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2008,3.125833333
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2009,2.081666667
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2010,2.5025
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2011,2.910833333
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2012,2.980833333
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2013,2.97
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2014,3.048107787
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2015,3.134487179
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2016,3.02803563
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2017,2.924518667
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2018,3.143443722
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2019,2.983390625
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2020,1.954976736
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2021,1.561721181
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2022,1.94905
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2023,2.650416667
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,Financial System Support,Deposit Rate,2024,2.647115459
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Financial System Support,Domestic Credit,2000,126.7293384
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Financial System Support,Domestic Credit,2001,127.2322058
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Financial System Support,Domestic Credit,2002,121.3519168
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Financial System Support,Domestic Credit,2003,118.5915104
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Financial System Support,Domestic Credit,2004,111.6287825
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Financial System Support,Domestic Credit,2005,106.2929386
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Financial System Support,Domestic Credit,2006,103.4891669
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Financial System Support,Domestic Credit,2007,101.4203352
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Financial System Support,Domestic Credit,2008,96.60456848
