Year,Deposit Rate,Domestic Credit,GDP Growth,Gross Domestic Savings,Household Consumption,Income per Capita,Inflation,Lending Rate,Non-performing Loans,Unemployment
2000,3.3625,126.7293384,8.85886817,46.0803982,2635.634458,4222.304132,1.534740237,7.673333333,,3.0
2001,3.374166667,127.2322058,0.517675319,41.83828305,2650.938833,3887.196756,1.416784732,7.126666667,,3.53
2002,3.205,121.3519168,5.390988307,42.03197699,2687.787831,4411.377312,1.807872463,6.528333333,,3.48
2003,3.066666667,118.5915104,5.788499286,42.4551483,2837.907988,4459.560707,1.089676326,6.300833333,,3.61
2004,3.0,111.6287825,6.783437724,43.4221851,3046.176266,5017.125942,1.421271159,6.045833333,,3.54
2005,3.001666667,106.2929386,5.332139161,44.33991074,3249.138199,4962.805372,2.975070927,5.9525,9.390239522,3.53
2006,3.149166667,103.4891669,5.584847067,44.49733907,3387.623439,5366.690199,3.609235642,6.485833333,8.495598649,3.32
2007,3.165833333,101.4203352,6.298785927,43.28057835,3660.978577,5787.655228,2.027353178,6.409166667,6.498810578,3.31
2008,3.125833333,96.60456848,4.831769889,43.78900421,3897.661887,6091.046682,5.440782211,6.08,4.808180972,3.34
2009,2.081666667,111.447313,-1.513528716,38.11030824,3841.948955,5575.516045,0.583308406,5.084166667,3.626565493,3.62
2010,2.5025,107.0374424,7.424847383,39.30224461,4029.50311,6123.00817,1.622852356,5.0,3.354026707,3.32
2011,2.910833333,108.3549919,5.293912834,38.76134789,4231.346892,6484.742194,3.174470922,4.915,2.681390308,3.05
2012,2.980833333,114.0542857,5.473454193,36.50669445,4507.071302,6560.879984,1.663571025,4.785833333,2.015843113,3.04
2013,2.97,119.7929177,4.693722526,34.47409912,4751.857062,6556.012913,2.105012312,4.6498,1.849146571,3.14
2014,3.048107787,120.5286835,6.006721946,34.2523745,4996.941863,6603.148634,3.142990509,4.587025,1.64578546,2.88
2015,3.134487179,123.0651806,5.091532422,32.95157254,5206.607725,7018.848649,2.104389802,4.565375,1.606828288,3.1
2016,3.02803563,121.9354289,4.449781398,32.64739288,5414.710642,7190.634589,2.090566595,4.531066667,1.614268256,3.44
2017,2.924518667,117.1273016,5.81272241,32.4156551,5687.517091,7419.794771,3.871201158,4.608078086,1.549187227,3.41
2018,3.143443722,120.2461831,4.843086976,30.6047373,6037.750905,7467.782682,0.884709161,4.928440385,1.468190965,3.3
2019,2.983390625,120.6783775,4.413187421,28.57521205,6398.937275,7863.871552,0.662891866,4.876892949,1.516120898,3.33
2020,1.954976736,133.7857494,-5.456846584,26.02569753,6065.085249,7471.263747,-1.138702154,3.944207692,1.567126711,4.54
2021,1.561721181,127.2319861,3.315349544,29.35582487,6102.805227,7437.761732,2.477102415,3.444106404,1.67512095,4.64
2022,1.94905,113.0457796,9.03173723,30.77728237,6718.40374,,3.378698625,3.908026667,1.718624666,3.93
2023,2.650416667,117.0750836,3.537063804,27.56620451,6942.399307,,2.488865601,5.317375006,1.653155801,3.858
2024,2.647115459,116.0838217,5.10545921,27.27348191,7208.161951,,1.834100204,5.282681,,3.846
