country_name,country_code,indicator_name,indicator_code,year,value
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2000,7.673333333
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2000,126.7293384
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2000,3.0
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,1.534740237
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2000,3.3625
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2000,10.04776511
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,8.85886817
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2001,7.126666667
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2001,127.2322058
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2001,3.53
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2001,1.416784732
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2001,3.374166667
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2001,11.63591058
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,0.517675319
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2002,6.528333333
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2002,121.3519168
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2002,3.48
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2002,1.807872463
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2002,3.205
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2002,4.484024329
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2002,5.390988307
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2003,6.300833333
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2003,118.5915104
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2003,3.61
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2003,1.089676326
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2003,3.066666667
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2003,8.62717994
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,5.788499286
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2004,6.045833333
