year,Bank nonperforming loans to total gross loans (%),Broad money growth (annual %),Deposit interest rate (%),Domestic credit to private sector by banks (% of GDP),GDP growth (annual %),"Inflation, consumer prices (annual %)",Lending interest rate (%),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
2000,,10.04776511,3.3625,126.7293384,8.85886817,1.534740237,7.673333333,3.0
2001,,11.63591058,3.374166667,127.2322058,0.517675319,1.416784732,7.126666667,3.53
2002,,4.484024329,3.205,121.3519168,5.390988307,1.807872463,6.528333333,3.48
2003,,8.62717994,3.066666667,118.5915104,5.788499286,1.089676326,6.300833333,3.61
2004,,12.68710273,3.0,111.6287825,6.783437724,1.421271159,6.045833333,3.54
2005,9.390239522,8.79316995,3.001666667,106.2929386,5.332139161,2.975070927,5.9525,3.53
2006,8.495598649,13.63100781,3.149166667,103.4891669,5.584847067,3.609235642,6.485833333,3.32
2007,6.498810578,7.922535768,3.165833333,101.4203352,6.298785927,2.027353178,6.409166667,3.31
2008,4.808180972,10.53542511,3.125833333,96.60456848,4.831769889,5.440782211,6.08,3.34
2009,3.626565493,7.739928126,2.081666667,111.447313,-1.513528716,0.583308406,5.084166667,3.62
2010,3.354026707,7.347736051,2.5025,107.0374424,7.424847383,1.622852356,5.0,3.32
2011,2.681390308,14.62793829,2.910833333,108.3549919,5.293912834,3.174470922,4.915,3.05
2012,2.015843113,8.846019729,2.980833333,114.0542857,5.473454193,1.663571025,4.785833333,3.04
2013,1.849146571,7.397400682,2.97,119.7929177,4.693722526,2.105012312,4.6498,3.14
2014,1.64578546,6.304048086,3.048107787,120.5286835,6.006721946,3.142990509,4.587025,2.88
2015,1.606828288,3.043535132,3.134487179,123.0651806,5.091532422,2.104389802,4.565375,3.1
2016,1.614268256,2.801133603,3.02803563,121.9354289,4.449781398,2.090566595,4.531066667,3.44
2017,1.549187227,4.644639093,2.924518667,117.1273016,5.81272241,3.871201158,4.608078086,3.41
2018,1.468190965,7.68802392,3.143443722,120.2461831,4.843086976,0.884709161,4.928440385,3.3
2019,1.516120898,2.674720321,2.983390625,120.6783775,4.413187421,0.662891866,4.876892949,3.33
2020,1.567126711,4.593247706,1.954976736,133.7857494,-5.456846584,-1.138702154,3.944207692,4.54
2021,1.67512095,5.559034094,1.561721181,127.2319861,3.315349544,2.477102415,3.444106404,4.64
2022,1.718624666,3.997014915,1.94905,113.0457796,9.03173723,3.378698625,3.908026667,3.93
2023,1.653155801,5.831200971,2.650416667,117.0750836,3.537063804,2.488865601,5.317375006,3.858
2024,,3.276225398,2.647115459,116.0838217,5.10545921,1.834100204,5.282681,3.846
